image,instrument,intensity,filepath
ASax-ord-C#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#4-pp-N-N.png
ASax-ord-A3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A3-pp-N-N.png
ASax-ord-E5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E5-pp-N-N.png
ASax-ord-D4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D4-pp-N-N.png
ASax-ord-A5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A5-pp-N-N.png
ASax-ord-E3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E3-pp-N-N.png
ASax-ord-C#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#4-mf-N-N.png
ASax-ord-A4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A4-ff-N-N.png
ASax-ord-D5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D5-mf-N-N.png
ASax-ord-B3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-B3-ff-N-N.png
ASax-ord-E4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E4-pp-N-N.png
ASax-ord-A4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A4-pp-N-N.png
ASax-ord-D#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D#5-pp-N-N.png
ASax-ord-F3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F3-ff-N-N.png
ASax-ord-F5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F5-pp-N-N.png
ASax-ord-A5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A5-mf-N-N.png
ASax-ord-E4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E4-pp-N-N.png
ASax-ord-F#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#3-pp-N-N.png
ASax-ord-G3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G3-mf-N-N.png
ASax-ord-D#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#5-ff-N-N.png
ASax-ord-G5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G5-ff-N-N.png
ASax-ord-F4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F4-mf-N-N.png
ASax-ord-F4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F4-pp-N-N.png
ASax-ord-A#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A#3-mf-N-N.png
ASax-ord-A4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A4-mf-N-N.png
ASax-ord-A#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A#4-mf-N-N.png
ASax-ord-D#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#3-ff-N-N.png
ASax-ord-D#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D#3-pp-N-N.png
ASax-ord-A4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A4-ff-N-N.png
ASax-ord-G4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G4-ff-N-N.png
ASax-ord-G#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#3-pp-N-N.png
ASax-ord-G#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#5-ff-N-N.png
ASax-ord-A4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A4-mf-N-N.png
ASax-ord-D#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#3-ff-N-N.png
ASax-ord-D5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D5-pp-N-N.png
ASax-ord-C4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C4-ff-N-N.png
ASax-ord-E4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E4-pp-N-N.png
ASax-ord-A#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A#4-pp-N-N.png
ASax-ord-D#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#3-ff-N-N.png
ASax-ord-F#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#3-ff-N-N.png
ASax-ord-A#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A#3-pp-N-N.png
ASax-ord-F#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#5-pp-N-N.png
ASax-ord-F4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F4-pp-N-N.png
ASax-ord-C#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#5-mf-N-N.png
ASax-ord-D#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D#5-pp-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-A3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A3-pp-N-N.png
ASax-ord-G#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#5-pp-N-N.png
ASax-ord-C#3-pp-N-T11d.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#3-pp-N-T11d.png
ASax-ord-E3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E3-mf-N-N.png
ASax-ord-C#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#5-pp-N-N.png
ASax-ord-C#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C#3-ff-N-N.png
ASax-ord-C4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C4-ff-N-N.png
ASax-ord-G5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G5-mf-N-N.png
ASax-ord-F3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F3-mf-N-N.png
ASax-ord-F3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F3-mf-N-N.png
ASax-ord-B4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-B4-ff-N-N.png
ASax-ord-G#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#4-ff-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-D#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#4-ff-N-N.png
ASax-ord-B3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-B3-mf-N-N.png
ASax-ord-F#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#5-ff-N-N.png
ASax-ord-C4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C4-pp-N-N.png
ASax-ord-C#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#4-pp-N-N.png
ASax-ord-D4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D4-pp-N-N.png
ASax-ord-A3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A3-pp-N-N.png
ASax-ord-A4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A4-ff-N-N.png
ASax-ord-F#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#5-ff-N-N.png
ASax-ord-G4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G4-pp-N-N.png
ASax-ord-F#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#5-pp-N-N.png
ASax-ord-D#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#3-mf-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-D#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#3-mf-N-N.png
ASax-ord-F#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#5-ff-N-N.png
ASax-ord-F#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#3-pp-N-N.png
ASax-ord-G#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#3-pp-N-N.png
ASax-ord-A#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A#4-pp-N-N.png
ASax-ord-C#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#5-pp-N-N.png
ASax-ord-A5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A5-mf-N-N.png
ASax-ord-A#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A#3-ff-N-N.png
ASax-ord-F#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F#5-mf-N-N.png
ASax-ord-C5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C5-mf-N-N.png
ASax-ord-D3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D3-mf-N-N.png
ASax-ord-A#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A#3-mf-N-N.png
ASax-ord-A5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A5-ff-N-N.png
ASax-ord-C#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#5-mf-N-N.png
ASax-ord-C#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#3-mf-N-N.png
ASax-ord-G#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#3-ff-N-N.png
ASax-ord-G5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G5-ff-N-N.png
ASax-ord-E3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E3-ff-N-N.png
ASax-ord-C#3-pp-N-T11d.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#3-pp-N-T11d.png
ASax-ord-F3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F3-ff-N-N.png
ASax-ord-D#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#3-mf-N-N.png
ASax-ord-F4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F4-ff-N-N.png
ASax-ord-G4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G4-mf-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-A3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A3-pp-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-C#3-pp-N-T11d.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#3-pp-N-T11d.png
ASax-ord-F5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F5-mf-N-N.png
ASax-ord-E5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E5-mf-N-N.png
ASax-ord-A5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A5-ff-N-N.png
ASax-ord-G#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#3-pp-N-N.png
ASax-ord-D#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#3-ff-N-N.png
ASax-ord-F5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F5-mf-N-N.png
ASax-ord-F#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F#4-mf-N-N.png
ASax-ord-A3-mf-N-R100d.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A3-mf-N-R100d.png
ASax-ord-C#3-pp-N-T11d.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#3-pp-N-T11d.png
ASax-ord-D#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#5-mf-N-N.png
ASax-ord-C#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#5-mf-N-N.png
ASax-ord-G#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#3-ff-N-N.png
ASax-ord-G5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G5-mf-N-N.png
ASax-ord-A5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A5-ff-N-N.png
ASax-ord-A5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A5-mf-N-N.png
ASax-ord-D#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#3-mf-N-N.png
ASax-ord-D#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#4-mf-N-N.png
ASax-ord-A#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A#3-pp-N-N.png
ASax-ord-C5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C5-mf-N-N.png
ASax-ord-G#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#3-ff-N-N.png
ASax-ord-F3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F3-pp-N-N.png
ASax-ord-A#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A#3-ff-N-N.png
ASax-ord-D4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D4-ff-N-N.png
ASax-ord-D#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#4-mf-N-N.png
ASax-ord-G5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G5-ff-N-N.png
ASax-ord-E4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E4-ff-N-N.png
ASax-ord-A5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A5-pp-N-N.png
ASax-ord-C5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C5-mf-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-B3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-B3-pp-N-N.png
ASax-ord-F4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F4-mf-N-N.png
ASax-ord-B3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-B3-mf-N-N.png
ASax-ord-D4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D4-pp-N-N.png
ASax-ord-G#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G#5-mf-N-N.png
ASax-ord-D5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D5-ff-N-N.png
ASax-ord-C#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C#4-ff-N-N.png
ASax-ord-B4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-B4-ff-N-N.png
ASax-ord-A5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A5-pp-N-N.png
ASax-ord-E4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E4-ff-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-A3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A3-ff-N-N.png
ASax-ord-C#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C#5-ff-N-N.png
ASax-ord-A3-mf-N-R100d.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A3-mf-N-R100d.png
ASax-ord-G3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G3-pp-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-D3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D3-mf-N-N.png
ASax-ord-A3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-A3-pp-N-N.png
ASax-ord-G4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G4-mf-N-N.png
ASax-ord-F#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#4-ff-N-N.png
ASax-ord-F#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#5-pp-N-N.png
ASax-ord-D#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#5-ff-N-N.png
ASax-ord-D5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D5-ff-N-N.png
ASax-ord-F4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F4-pp-N-N.png
ASax-ord-D#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#4-mf-N-N.png
ASax-ord-F5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F5-pp-N-N.png
ASax-ord-G#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#5-pp-N-N.png
ASax-ord-G#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#3-pp-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-G5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G5-pp-N-N.png
ASax-ord-A#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A#3-ff-N-N.png
ASax-ord-A#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A#4-ff-N-N.png
ASax-ord-F#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#4-ff-N-N.png
ASax-ord-D#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D#3-pp-N-N.png
ASax-ord-F5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F5-mf-N-N.png
ASax-ord-C#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#3-mf-N-N.png
ASax-ord-G#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#5-pp-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-F#3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#3-pp-N-N.png
ASax-ord-B3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-B3-mf-N-N.png
ASax-ord-G5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G5-ff-N-N.png
ASax-ord-E4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E4-mf-N-N.png
ASax-ord-A5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A5-ff-N-N.png
ASax-ord-C4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C4-pp-N-N.png
ASax-ord-G3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G3-mf-N-N.png
ASax-ord-F5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F5-pp-N-N.png
ASax-ord-F4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F4-ff-N-N.png
ASax-ord-B3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-B3-pp-N-N.png
ASax-ord-D#5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#5-ff-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-F5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F5-ff-N-N.png
ASax-ord-D4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-D4-pp-N-N.png
ASax-ord-A4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A4-mf-N-N.png
ASax-ord-D5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D5-mf-N-N.png
ASax-ord-D3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D3-mf-N-N.png
ASax-ord-D5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D5-mf-N-N.png
ASax-ord-C4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C4-pp-N-N.png
ASax-ord-E5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-E5-pp-N-N.png
ASax-ord-F5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F5-ff-N-N.png
ASax-ord-F4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F4-pp-N-N.png
ASax-ord-A3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-A3-ff-N-N.png
ASax-ord-F5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F5-ff-N-N.png
ASax-ord-B4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-B4-mf-N-N.png
ASax-ord-C#3-pp-N-T11d.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#3-pp-N-T11d.png
ASax-ord-G5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G5-mf-N-N.png
ASax-ord-E3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E3-mf-N-N.png
ASax-ord-E5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E5-ff-N-N.png
ASax-ord-E3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E3-mf-N-N.png
ASax-ord-G4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G4-pp-N-N.png
ASax-ord-A4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A4-mf-N-N.png
ASax-ord-B4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-B4-pp-N-N.png
ASax-ord-F#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-F#4-ff-N-N.png
ASax-ord-C#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#4-mf-N-N.png
ASax-ord-E3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E3-ff-N-N.png
ASax-ord-D3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D3-ff-N-N.png
ASax-ord-E5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E5-mf-N-N.png
ASax-ord-F#5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F#5-pp-N-N.png
ASax-ord-F3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F3-mf-N-N.png
ASax-ord-C5-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C5-pp-N-N.png
ASax-ord-D#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D#3-ff-N-N.png
ASax-ord-D3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D3-mf-N-N.png
ASax-ord-A#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A#3-mf-N-N.png
ASax-ord-E5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-E5-mf-N-N.png
ASax-ord-C#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C#3-ff-N-N.png
ASax-ord-F#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-F#3-mf-N-N.png
ASax-ord-B4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-B4-pp-N-N.png
ASax-ord-D#5-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D#5-mf-N-N.png
ASax-ord-F3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-F3-pp-N-N.png
ASax-ord-G#3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#3-ff-N-N.png
ASax-ord-G#4-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G#4-ff-N-N.png
ASax-ord-D3-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-D3-ff-N-N.png
ASax-ord-G5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-G5-ff-N-N.png
ASax-ord-E5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-E5-ff-N-N.png
ASax-ord-G#4-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G#4-mf-N-N.png
ASax-ord-C#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-C#3-mf-N-N.png
ASax-ord-D3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-D3-mf-N-N.png
ASax-ord-C5-ff-N-N.png,Alto Saxophone,ff,mel_spectrograms/ASax-ord-C5-ff-N-N.png
ASax-ord-A3-mf-N-R100d.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-A3-mf-N-R100d.png
ASax-ord-G3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G3-mf-N-N.png
ASax-ord-C4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C4-pp-N-N.png
ASax-ord-G3-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G3-pp-N-N.png
ASax-ord-C#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-C#4-pp-N-N.png
ASax-ord-G#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#4-pp-N-N.png
ASax-ord-G#3-mf-N-N.png,Alto Saxophone,mf,mel_spectrograms/ASax-ord-G#3-mf-N-N.png
ASax-ord-G#4-pp-N-N.png,Alto Saxophone,pp,mel_spectrograms/ASax-ord-G#4-pp-N-N.png
